Comment,Timestamp,Sentiment
What bills have you passed this year?,2019-09-25T01:28:37Z,0.0
Yet she's been in Congress 30 years and there's bums pooping on the sidewalks of her district throwing used needles in public parks where kids play ...good work Nancy,2019-09-25T01:26:14Z,0.34
"You need to do what you were supposed to do for the American people, but no, you are just waisting our time. And just like you said, a REPUBLIC ,not democrat",2019-09-25T01:26:07Z,0.1154
Yeeeeee Haaaaaw!  Put a tent around the next 3 ring circus!!!  The Demoncrat clowns will be on full display in the upcoming impeachment hearings.  Just what they wanted........NOT!  BWAHAHAHAHAHAHAHAHA!  Gonna have to get me some more popcorn for this charade!  Trump laid out the cheese and the rats couldn’t resist!  Now you’re trapped.,2019-09-25T01:25:02Z,-0.6776
"LOL XD They know they can't win the election so they're gonna throw everything they have at this impeachment. Which will fail, piss Dems off, and guarantee a Strong Trump Victory in 2020! Death to Globalism!",2019-09-25T01:20:33Z,0.1969
"Nancy finally gave in to the calls by herr failing parties demand for a formal impeachment inquiry. Not because she wants to or thinks it will lead to impeachment but, rather she knows the Democratic party is totally ""dead"" as of the next election. Most will be gone (indicted) resigned or voted out of office.  She knows if she doesn't allow this inquiry she'll be driven out of office by her own party. A Captain going down with her doomed ship.",2019-09-25T01:11:57Z,-0.5788
What about the constitutional gun rights she wants to take away,2019-09-25T01:05:14Z,-0.34
Nice to see taxpayer money pay for her Botox treatments.,2019-09-25T01:04:41Z,0.34
A drunken Charlie Sheen could a spoke better,2019-09-25T01:04:20Z,0.4404
He promised to balance the budget for 2019 ... but didn't  - he never apologized and is not even concerned. He acts like nothing is wrong.,2019-09-25T00:58:07Z,0.8555
"Well, we got him.",2019-09-25T00:55:12Z,0.2732
"Shout out to all you Brandi Carlile fans. ""I have been to the movies and I've seen how it ends and the joke's on them"". Don't be discouraged.",2019-09-25T00:54:37Z,0.3089
Anyone notice the crack jaw twitch at the end!lol,2019-09-25T00:53:21Z,0.0
Lmao still salty they lost the 2016 election... Thank you for gifting Trump the 2020 election! Much appreciated!,2019-09-25T00:52:45Z,0.8395
She is a waste of time.Clearly she has lost  her mind.Steal excusing the President of crimes commented by the Left.,2019-09-25T00:50:43Z,-0.6249
She looks like a skeleton.  She is also dead inside.,2019-09-25T00:45:02Z,-0.4215
"Come-on DEMS - hang tough - see it through - throw it at the Pink Orangutan. DO NOT RELENT - LOUD, LONG AND STRONG.",2019-09-25T00:41:41Z,0.5473
Impeach the best President ever???? NOT GONNA HAPPEN,2019-09-25T00:39:38Z,0.7319
"Ah, when your life isn’t one endless, brutalizing, dehumanizing competition for survival, lose that job, there goes your healthcare, bang, everyone one small emergency away from the edge of ruin, then your life isn’t also one long feeling of dread, anxiety, and despair. Therefore you don’t have to medicate it away, the way people do in this capitalist empire, whether with painkillers, or with money, or with possessions. You are free to sit there and reflect, to feel deeply the sorrow and joy and pain and beauty of just being here. Just existing for a few breaths on this blue oasis hurtling through the endless darkness. Still wonder, if they will impeach or keep appeasing him.  he is an infantile narcissist. He is forever seeking total power, omnipotence, to prove to himself he is worthy, having been unloved by distant parents. He will fail because, in this life, no one can have absolute power. Already, he’s the world’s laughingstock. Never mind, he doubles down. He does more violence, calls more names. The world laughs some more. The vicious cycle continues. What else can an infantile narcissist do? He has no shame, just the desperate desire to be powerful, even if it means…turning the whole world to ashes, so long as he can stand atop it. So...We wait...Let Nero fall, for he is not worthy any longer....",2019-09-25T00:37:27Z,-0.9813
She sounds drunk,2019-09-25T00:30:39Z,-0.34
"I'm sure the timing on this has nothing to do with the absolute clown show happening these days in the DNC primaries.  Pelosi has been visibly nervous about 2020 for months now, she knows that if she doesn't pull a next-level deflection ASAP the Democratic party is dead.  Make no mistake: This is the last act of a desperate old woman clinging to her last shreds of power.",2019-09-25T00:28:56Z,-0.8074
"Don't start celebrating, just yet, you Leftist morons. This will never get past the Senate. 🖕😜",2019-09-25T00:22:39Z,-0.6483
These fairys are a fkn joke hahaha watch how many people vote for trump you stupid rats...trump 2020. You guys just fkd yourselves  for eternity.,2019-09-25T00:19:19Z,0.34
"These democratic party members are traitors, this is our duely elected president. This is a treasonous act from traitors within our nation. Everyone that votes with this should be removed from office and tried for treason.  They are enemies to the constitution for which they took an oath to up hold. Thos should not be tolerated!",2019-09-25T00:09:33Z,-0.8122
Wow Democrats are so full of shit..I hope Trump lured The Dems and they fell for it stupid idiots...,2019-09-25T00:09:24Z,0.5106
"THE Criminal DemocRats are gonna LOOSE and LOOSE huge! They are no longer a political party they are a CRIMINAL ORGANIZATION PART OF THE DEEP STATE SWAMP RATS, THEY ARE ALL TRAITORS AND THE DAY OF RECKONING IS EVENTUALLY UPON ALL OF THESE TREASONOUS SWAMP RATS WHO CONTINUE WITH THEIR HIT JOB ON OUR BELOVED PRESIDENT AND GREATEST COMMANDER IN CHIEF. HE IS A TRUE AMERICAN PATRIOT AND HE’S GONNA WIN THE 2020 PRESIDENTIAL ELECTION BY A LANDSLIDE VICTORY! President Trump restored the American economy back to greatness and made it the envy of the entire world 🌎 HE COMPLETELY OVERHAULED THE AMERICAN ARMED FORCES AND RETURNED IT BACK TO IT’S FORMER GLORY AS THE GREATEST ARMED FORCE IN THE ENTIRE WORLD. PRESIDENT TRUMP WILL BE FOREVER KNOWN AS THE GREATEST PRESIDENT IN THE HISTORY OF AMERICA🇺🇸
GOD BLESS OUR BELOVED PRESIDENT DONALD J TRUMP AND PROTECT HIM AND ALL OF HIS BEAUTIFUL FAMILY FROM THE EVIL SATANIC DEEP STATE PIGS, WHO WISH TO DESTROY HIM AND IN THE PROCESS DESTROY AMERICA AND IMPOVERISH THE AMERICAN PEOPLE, BY CRIPPLING THE AMERICAN ECONOMY THAT PRESIDENT TRUMP FOUGHT SO HARD TO MAKE GREAT AGAIN, WITHOUT ANY HELP from the wicked lowlife democRats I’ll add. DARK TO LIGHT KEEP GOING PRESIDENT TRUMP THE WHOLE COUNTRY IS BEHIND YOU AND WE HAVE YOUR BACK...",2019-09-25T00:07:59Z,0.9755
"She is such a puppet, just give her a little Crack and she will say what ever you want her to.",2019-09-25T00:05:56Z,0.0772
"Since when does the constitution matter? We have people locked up for legislative crimes that aren’t actual crimes. I mean the right to bear arms is a crime, The right to travel without a license is a crime, So I ask again since when does the constitution matter if congress and the whole dam White House has Violated it by pushing legislative laws which are De Facto!!!!!!!",2019-09-25T00:05:28Z,-0.9075
Yaaaa.. Baby ... Caught the Orange Rat bone spurs with the Russian's cheezzz...🇺🇸🏁,2019-09-24T23:56:38Z,0.0
"Now it matters ha, we'll see if anything changes",2019-09-24T23:55:26Z,0.3612
Nancy is so old it’s almost like I’m watching a skeleton speak,2019-09-24T23:52:30Z,0.2975
"She reminds me my son’s X .
She always made accusations without proof running around the courthouse to fire canon without bullet.",2019-09-24T23:49:26Z,-0.5719
Pelosi stop wasting tax payers money on your nonsense phantom ideas noone cares about.,2019-09-24T23:44:52Z,-0.5574
"Sorry to Americans, feeling for U in your heartbreak at this time. 
God Bless America🇺🇸",2019-09-24T23:40:49Z,0.1027
Look at that walking dead heifer ugh!😝,2019-09-24T23:40:37Z,-0.68
FINALLY,2019-09-24T23:39:11Z,0.0
This plus media programming = Brainwash for Election day I guess?,2019-09-24T23:38:34Z,0.0
"It has been proven it was not a ""whistleblower"".  The person was not even working at the White House, but heard a rumour outside of the Whitehouse that ""such and such"" had happened.  I will laugh when Trump releases the transcript.",2019-09-24T23:33:47Z,0.7096
